Código|Deputado
|Selecione o deputado
4433|Adalto Santos
6|Aglailson Júnior
4434|Aluísio Lessa
4468|Álvaro Porto
4461|André Ferreira
2911|Ângelo Ferreira
11|Antônio Moraes
12|Augusto César
4475|Beto Accioly
4457|Bispo Ossesio Silva
4478|Botafogo
4436|Claudiano Martins Filho
2929|Clodoaldo Magalhães
4438|Diogo Moraes
4474|Dr. Valdi
4471|Edilson Silva
4472|Eduíno Brito
2944|Eriberto Medeiros
2950|Everaldo Cabral
4439|Francismar Pontes
24|Guilherme Uchoa
4440|Gustavo Negromonte
25|Henrique Queiroz
27|Isaltino Nascimento
4479|Jadeval de Lima
4473|João Eudes
4463|Joaquim Lira
4477|Joel da Harpa
4459|José Humberto Cavalcanti
4441|Julio Cavalcanti
4442|Laura Gomes
4465|Lucas Ramos
33|Lula Cabral
36|Marcantônio Dourado
4466|Miguel Coelho
4447|Odacy Amorim
39|Pastor Cleiton Collins
4480|Paulinho Tomé
4448|Pedro Serafim Neto
4467|Priscila Krause
4476|Professor Lupércio
4450|Raquel Lyra
4202|Ricardo Costa
4481|Roberta Arraes
4452|Rodrigo Novaes
4469|Rogerio Leão
1|Romário Dias
48|Sérgio Leite
2962|Sílvio Costa Filho
4462|Simone Santana
4470|Socorro Pimentel
51|Teresa Leitão
2965|Terezinha Nunes
4453|Tony Gel
4454|Vinícius Labanca
4425|Waldemar Borges
4458|Zé Maurício
